scale3,scale1,scale5,scale8,TIMESTAMP,scale7,scale6,scale2,scale4
9.966,9.2165,8.8425,8.9025,2020-01-23 00:03:04,8.895,8.852,9.1315,10.265
9.965,9.2165,8.843,8.9015,2020-01-23 00:18:08,8.8945,8.852,9.131,10.266
9.9645,9.2165,8.843,8.9015,2020-01-23 00:33:12,8.894,8.852,9.131,10.267
9.9645,9.2165,8.843,8.9015,2020-01-23 00:48:16,8.894,8.852,9.131,10.267
9.965,9.2165,8.8435,8.9015,2020-01-23 01:03:19,8.8945,8.852,9.1315,10.267
9.9645,9.2165,8.8435,8.902,2020-01-23 01:18:23,8.8945,8.8525,9.1315,10.268
9.9645,9.2165,8.8435,8.902,2020-01-23 01:33:27,8.8945,8.8525,9.1315,10.268
9.964,9.2165,8.8435,8.9015,2020-01-23 01:48:31,8.894,8.8525,9.131,10.268
9.964,9.2165,8.844,8.901,2020-01-23 02:03:35,8.894,8.8525,9.131,10.269
9.963,9.217,8.844,8.9005,2020-01-23 02:18:39,8.893,8.852,9.131,10.269
9.9625,9.217,8.844,8.9,2020-01-23 02:33:43,8.8925,8.852,9.1305,10.27
9.9625,9.217,8.8445,8.9,2020-01-23 02:48:47,8.8925,8.852,9.1305,10.27
9.962,9.217,8.8445,8.8995,2020-01-23 03:03:51,8.8925,8.852,9.1305,10.27
9.9605,9.217,8.845,8.899,2020-01-23 03:18:55,8.891,8.8515,9.13,10.271
9.9575,9.217,8.8455,8.8965,2020-01-23 03:33:58,8.889,8.851,9.1285,10.273
9.9585,9.2175,8.8455,8.8955,2020-01-23 03:49:02,8.889,8.851,9.129,10.274
9.956,9.2175,8.846,8.8925,2020-01-23 04:04:06,8.887,8.8495,9.128,10.275
9.9535,9.2175,8.8465,8.8905,2020-01-23 04:19:10,8.8845,8.8485,9.127,10.276
9.9535,9.2175,8.847,8.8905,2020-01-23 04:34:14,8.885,8.849,9.1275,10.276
9.9535,9.2175,8.847,8.891,2020-01-23 04:49:18,8.885,8.849,9.128,10.276
9.952,9.218,8.847,8.8905,2020-01-23 05:04:22,8.8845,8.8485,9.1275,10.277
9.9505,9.218,8.847,8.889,2020-01-23 05:19:26,8.8825,8.848,9.1265,10.277
9.95,9.218,8.847,8.8885,2020-01-23 05:34:29,8.882,8.8475,9.126,10.278
9.95,9.2175,8.847,8.889,2020-01-23 05:49:33,8.882,8.848,9.126,10.277
9.95,9.218,8.8475,8.889,2020-01-23 06:04:37,8.882,8.848,9.126,10.278
9.9495,9.218,8.8475,8.8885,2020-01-23 06:19:41,8.881,8.8475,9.126,10.278
9.949,9.218,8.8475,8.8885,2020-01-23 06:34:45,8.881,8.8475,9.126,10.278
9.9495,9.218,8.8475,8.8885,2020-01-23 06:49:49,8.881,8.8475,9.126,10.278
9.949,9.218,8.8475,8.888,2020-01-23 07:04:53,8.881,8.8475,9.1255,10.279
9.9495,9.218,8.8475,8.888,2020-01-23 07:19:57,8.8815,8.8475,9.1265,10.278
9.947,9.218,8.848,8.8865,2020-01-23 07:35:01,8.88,8.847,9.1255,10.279
9.9435,9.2185,8.8485,8.8835,2020-01-23 07:50:05,8.876,8.846,9.124,10.282
9.9395,9.2185,8.849,8.8805,2020-01-23 08:05:08,8.8725,8.8455,9.1225,10.284
9.937,9.2185,8.849,8.879,2020-01-23 08:20:12,8.87,8.844,9.122,10.285
9.9355,9.2185,8.8495,8.8775,2020-01-23 08:35:16,8.869,8.8435,9.1215,10.286
9.9345,9.219,8.8495,8.8765,2020-01-23 08:50:20,8.868,8.8435,9.121,10.286
9.9335,9.2185,8.85,8.8765,2020-01-23 09:05:24,8.8675,8.8425,9.121,10.287
9.9325,9.219,8.85,8.876,2020-01-23 09:20:28,8.867,8.8425,9.121,10.287
9.933,9.219,8.85,8.876,2020-01-23 09:35:32,8.867,8.8425,9.121,10.287
9.9325,9.219,8.85,8.876,2020-01-23 09:50:36,8.8665,8.8425,9.121,10.287
9.9325,9.219,8.85,8.8755,2020-01-23 10:05:39,8.8665,8.842,9.121,10.287
9.932,9.219,8.85,8.876,2020-01-23 10:20:43,8.8665,8.842,9.121,10.287
9.9325,9.219,8.85,8.876,2020-01-23 10:35:47,8.8665,8.8425,9.121,10.287
9.9325,9.219,8.85,8.876,2020-01-23 10:50:51,8.8665,8.842,9.121,10.287
9.9325,9.219,8.85,8.8755,2020-01-23 11:05:55,8.8665,8.8415,9.1205,10.287
9.931,9.2195,8.8505,8.875,2020-01-23 11:20:59,8.865,8.842,9.1205,10.288
9.929,9.2195,8.8505,8.8735,2020-01-23 11:36:03,8.863,8.8415,9.1195,10.289
9.9265,9.2195,8.851,8.871,2020-01-23 11:51:07,8.861,8.8405,9.119,10.29
9.924,9.2195,8.851,8.8685,2020-01-23 12:06:11,8.8585,8.8395,9.118,10.291
9.922,9.22,8.8515,8.867,2020-01-23 12:21:15,8.857,8.8395,9.1175,10.292
9.9205,9.22,8.852,8.8655,2020-01-23 12:36:18,8.856,8.839,9.117,10.292
9.92,9.22,8.852,8.8655,2020-01-23 12:51:22,8.8555,8.8385,9.117,10.293
9.9195,9.22,8.852,8.8645,2020-01-23 13:06:26,8.855,8.838,9.117,10.293
9.919,9.22,8.852,8.8645,2020-01-23 13:21:30,8.855,8.838,9.117,10.293
9.9185,9.22,8.852,8.8645,2020-01-23 13:36:34,8.855,8.8375,9.117,10.293
9.9185,9.22,8.852,8.8645,2020-01-23 13:51:38,8.855,8.8375,9.1175,10.294
9.9185,9.22,8.852,8.8645,2020-01-23 14:06:42,8.855,8.8375,9.117,10.293
9.919,9.2205,8.852,8.8645,2020-01-23 14:21:46,8.855,8.837,9.117,10.294
9.919,9.22,8.852,8.8645,2020-01-23 14:36:50,8.855,8.8365,9.1175,10.293
9.919,9.2205,8.852,8.8645,2020-01-23 14:51:54,8.855,8.8375,9.1175,10.293
9.9185,9.2205,8.852,8.864,2020-01-23 15:06:58,8.8545,8.8375,9.1175,10.293
