scale5,TIMESTAMP,scale7,scale4,scale8,scale1,scale6,scale2,scale3
12.003,2020-03-01 00:03:37,10.091,10.169,12.026,10.515,10.151,12.345,11.939
12.003,2020-03-01 00:18:40,10.091,10.168,12.025,10.515,10.151,12.343,11.939
12.002,2020-03-01 00:33:44,10.09,10.168,12.024,10.515,10.151,12.341,11.938
12.002,2020-03-01 00:48:48,10.089,10.168,12.023,10.514,10.15,12.34,11.938
12.001,2020-03-01 01:03:52,10.089,10.168,12.022,10.514,10.15,12.339,11.938
12.0,2020-03-01 01:18:56,10.088,10.168,12.021,10.514,10.149,12.338,11.938
11.999,2020-03-01 01:34:00,10.088,10.167,12.02,10.513,10.149,12.337,11.937
11.998,2020-03-01 01:49:04,10.087,10.167,12.018,10.513,10.148,12.336,11.938
11.997,2020-03-01 02:04:08,10.086,10.167,12.017,10.513,10.148,12.335,11.937
11.997,2020-03-01 02:19:11,10.085,10.167,12.015,10.512,10.147,12.333,11.936
11.996,2020-03-01 02:34:15,10.085,10.167,12.014,10.512,10.147,12.332,11.936
11.995,2020-03-01 02:49:19,10.084,10.167,12.013,10.512,10.146,12.331,11.936
11.994,2020-03-01 03:04:23,10.084,10.167,12.013,10.512,10.146,12.33,11.937
11.994,2020-03-01 03:19:27,10.083,10.166,12.012,10.511,10.146,12.328,11.935
11.994,2020-03-01 03:34:31,10.083,10.165,12.012,10.511,10.146,12.326,11.934
11.994,2020-03-01 03:49:35,10.083,10.164,12.013,10.511,10.146,12.324,11.934
11.994,2020-03-01 04:04:39,10.082,10.163,12.013,10.511,10.147,12.322,11.933
11.994,2020-03-01 04:19:43,10.081,10.163,12.012,10.511,10.147,12.32,11.932
11.994,2020-03-01 04:34:47,10.08,10.162,12.012,10.511,10.147,12.319,11.931
11.994,2020-03-01 04:49:50,10.079,10.162,12.011,10.511,10.147,12.318,11.93
11.993,2020-03-01 05:04:54,10.079,10.161,12.01,10.511,10.147,12.317,11.929
11.993,2020-03-01 05:19:58,10.079,10.161,12.01,10.51,10.146,12.316,11.928
11.993,2020-03-01 05:35:02,10.078,10.161,12.009,10.51,10.146,12.315,11.928
11.992,2020-03-01 05:50:06,10.078,10.16,12.009,10.51,10.146,12.314,11.928
11.992,2020-03-01 06:05:10,10.078,10.16,12.009,10.51,10.146,12.314,11.928
11.992,2020-03-01 06:20:14,10.078,10.16,12.008,10.51,10.146,12.313,11.928
11.992,2020-03-01 06:35:18,10.078,10.16,12.008,10.51,10.146,12.313,11.927
11.991,2020-03-01 06:50:22,10.078,10.16,12.007,10.51,10.145,12.313,11.927
11.991,2020-03-01 07:05:26,10.077,10.16,12.007,10.509,10.145,12.312,11.927
11.991,2020-03-01 07:20:30,10.077,10.159,12.007,10.509,10.145,12.312,11.927
11.99,2020-03-01 07:35:33,10.077,10.16,12.006,10.509,10.145,12.311,11.927
11.99,2020-03-01 07:50:37,10.077,10.159,12.006,10.509,10.145,12.311,11.927
11.99,2020-03-01 08:05:41,10.077,10.16,12.005,10.509,10.145,12.31,11.927
11.99,2020-03-01 08:20:45,10.077,10.159,12.005,10.509,10.145,12.31,11.927
11.99,2020-03-01 08:35:49,10.077,10.159,12.005,10.509,10.145,12.309,11.926
11.989,2020-03-01 08:50:53,10.077,10.159,12.004,10.508,10.145,12.309,11.927
11.989,2020-03-01 09:05:57,10.077,10.159,12.004,10.508,10.144,12.309,11.926
11.989,2020-03-01 09:21:01,10.076,10.16,12.004,10.508,10.145,12.308,11.926
11.989,2020-03-01 09:36:05,10.076,10.16,12.003,10.508,10.144,12.308,11.926
11.988,2020-03-01 09:51:08,10.076,10.159,12.003,10.508,10.144,12.307,11.926
11.988,2020-03-01 10:06:12,10.076,10.159,12.002,10.508,10.144,12.307,11.926
11.988,2020-03-01 10:21:16,10.076,10.159,12.002,10.508,10.144,12.306,11.926
11.987,2020-03-01 10:36:20,10.076,10.159,12.001,10.508,10.144,12.306,11.926
11.987,2020-03-01 10:51:24,10.076,10.159,12.001,10.507,10.144,12.305,11.926
11.987,2020-03-01 11:06:28,10.075,10.159,12.0,10.507,10.144,12.305,11.925
11.986,2020-03-01 11:21:32,10.076,10.16,12.0,10.507,10.144,12.306,11.927
11.985,2020-03-01 11:36:36,10.075,10.161,11.997,10.507,10.142,12.306,11.927
11.984,2020-03-01 11:51:40,10.075,10.162,11.995,10.507,10.141,12.306,11.929
11.983,2020-03-01 12:06:44,10.075,10.162,11.993,10.506,10.14,12.305,11.929
11.982,2020-03-01 12:21:47,10.074,10.161,11.991,10.506,10.14,12.304,11.929
11.981,2020-03-01 12:36:51,10.073,10.161,11.989,10.505,10.139,12.303,11.929
11.98,2020-03-01 12:51:55,10.072,10.161,11.987,10.505,10.138,12.301,11.929
11.979,2020-03-01 13:06:59,10.072,10.162,11.986,10.505,10.137,12.3,11.929
11.978,2020-03-01 13:22:03,10.071,10.161,11.985,10.504,10.137,12.299,11.929
11.977,2020-03-01 13:37:07,10.07,10.161,11.983,10.504,10.136,12.298,11.929
11.976,2020-03-01 13:52:11,10.069,10.161,11.982,10.504,10.135,12.297,11.929
11.975,2020-03-01 14:07:15,10.068,10.161,11.98,10.503,10.135,12.295,11.928
11.974,2020-03-01 14:22:19,10.067,10.161,11.979,10.503,10.134,12.293,11.927
11.973,2020-03-01 14:37:22,10.066,10.161,11.977,10.503,10.134,12.292,11.927
11.972,2020-03-01 14:52:26,10.066,10.161,11.976,10.503,10.133,12.29,11.927
11.971,2020-03-01 15:07:30,10.064,10.16,11.974,10.502,10.133,12.289,11.926
11.971,2020-03-01 15:22:34,10.064,10.16,11.973,10.502,10.132,12.287,11.926
11.97,2020-03-01 15:37:38,10.063,10.16,11.971,10.502,10.132,12.286,11.926
11.969,2020-03-01 15:52:42,10.062,10.16,11.97,10.501,10.131,12.284,11.925
11.968,2020-03-01 16:07:46,10.062,10.16,11.968,10.501,10.131,12.283,11.925
11.967,2020-03-01 16:22:50,10.061,10.16,11.967,10.5,10.13,12.281,11.925
11.966,2020-03-01 16:37:54,10.061,10.16,11.966,10.5,10.13,12.28,11.925
11.965,2020-03-01 16:52:58,10.06,10.16,11.965,10.5,10.129,12.28,11.926
11.963,2020-03-01 17:08:01,10.059,10.16,11.963,10.5,10.129,12.278,11.926
11.962,2020-03-01 17:23:05,10.059,10.16,11.962,10.499,10.128,12.276,11.926
11.962,2020-03-01 17:38:09,10.059,10.16,11.96,10.499,10.128,12.275,11.926
11.961,2020-03-01 17:53:13,10.057,10.159,11.958,10.499,10.127,12.273,11.925
11.959,2020-03-01 18:08:17,10.057,10.159,11.958,10.498,10.127,12.272,11.926
11.959,2020-03-01 18:23:21,10.057,10.159,11.956,10.498,10.127,12.271,11.926
11.958,2020-03-01 18:38:25,10.056,10.159,11.955,10.497,10.126,12.269,11.925
11.957,2020-03-01 18:53:29,10.055,10.159,11.953,10.497,10.126,12.268,11.925
11.956,2020-03-01 19:08:33,10.054,10.159,11.951,10.497,10.125,12.266,11.924
11.955,2020-03-01 19:23:37,10.053,10.159,11.95,10.496,10.125,12.264,11.924
11.954,2020-03-01 19:38:40,10.053,10.159,11.948,10.496,10.124,12.263,11.924
11.953,2020-03-01 19:53:44,10.052,10.158,11.947,10.496,10.124,12.261,11.924
11.952,2020-03-01 20:08:48,10.051,10.158,11.946,10.496,10.123,12.26,11.924
11.951,2020-03-01 20:23:52,10.05,10.158,11.944,10.495,10.122,12.258,11.923
11.95,2020-03-01 20:38:56,10.049,10.158,11.942,10.495,10.122,12.257,11.923
11.949,2020-03-01 20:54:00,10.049,10.158,11.941,10.495,10.121,12.256,11.922
11.948,2020-03-01 21:09:04,10.048,10.157,11.939,10.494,10.121,12.253,11.921
11.947,2020-03-01 21:24:08,10.047,10.157,11.938,10.494,10.121,12.252,11.922
11.946,2020-03-01 21:39:12,10.047,10.157,11.936,10.494,10.12,12.251,11.922
11.945,2020-03-01 21:54:15,10.046,10.157,11.936,10.493,10.12,12.249,11.922
11.944,2020-03-01 22:09:19,10.045,10.156,11.934,10.493,10.119,12.247,11.921
11.943,2020-03-01 22:24:23,10.044,10.156,11.932,10.493,10.118,12.246,11.921
11.942,2020-03-01 22:39:27,10.044,10.156,11.931,10.492,10.118,12.244,11.921
11.941,2020-03-01 22:54:31,10.043,10.156,11.93,10.492,10.118,12.242,11.921
11.94,2020-03-01 23:09:35,10.043,10.156,11.928,10.492,10.117,12.241,11.921
