scale9,scale10,scale11,scale12,scale14,scale15,scale16,scale13,TIMESTAMP
8.887,8.9015,8.97,8.9405,8.8765,9.229,9.41,8.5585,2020-02-02 00:15:00
8.887,8.9015,8.97,8.9405,8.8765,9.2285,9.4115,8.5585,2020-02-02 00:30:03
8.887,8.9025,8.9705,8.9405,8.877,9.228,9.412,8.5585,2020-02-02 00:45:07
8.8875,8.902,8.97,8.9405,8.8765,9.2275,9.4115,8.5585,2020-02-02 01:00:11
8.8875,8.9025,8.97,8.9405,8.877,9.2275,9.4115,8.5585,2020-02-02 01:15:15
8.887,8.902,8.9705,8.9405,8.8765,9.227,9.411,8.5585,2020-02-02 01:30:19
8.8865,8.9005,8.9695,8.9395,8.8765,9.2235,9.4085,8.5575,2020-02-02 01:45:23
8.885,8.899,8.9685,8.9375,8.876,9.2175,9.4055,8.556,2020-02-02 02:00:27
8.884,8.8975,8.967,8.9355,8.875,9.21,9.4025,8.5545,2020-02-02 02:15:31
8.8825,8.895,8.9665,8.933,8.874,9.202,9.399,8.553,2020-02-02 02:30:35
8.882,8.8925,8.966,8.931,8.873,9.1955,9.3965,8.552,2020-02-02 02:45:38
8.881,8.892,8.966,8.93,8.8725,9.1915,9.3955,8.5515,2020-02-02 03:00:42
8.881,8.8915,8.966,8.9295,8.8715,9.189,9.3945,8.5515,2020-02-02 03:15:46
8.881,8.891,8.9665,8.9295,8.8715,9.1885,9.3945,8.5515,2020-02-02 03:30:50
8.881,8.8905,8.9665,8.9295,8.8715,9.1875,9.3945,8.5515,2020-02-02 03:45:54
8.881,8.8895,8.966,8.929,8.871,9.187,9.3945,8.5515,2020-02-02 04:00:58
8.881,8.89,8.966,8.929,8.871,9.187,9.3945,8.5515,2020-02-02 04:16:02
8.881,8.8895,8.966,8.9285,8.871,9.187,9.395,8.5515,2020-02-02 04:31:06
8.881,8.8895,8.966,8.9285,8.871,9.187,9.395,8.5515,2020-02-02 04:46:10
8.8815,8.8905,8.966,8.9285,8.871,9.187,9.395,8.5515,2020-02-02 05:01:14
8.881,8.8905,8.966,8.928,8.871,9.187,9.395,8.5515,2020-02-02 05:16:17
8.881,8.8905,8.966,8.928,8.871,9.1865,9.3945,8.5515,2020-02-02 05:31:21
8.8805,8.8895,8.9655,8.9275,8.871,9.183,9.3945,8.551,2020-02-02 05:46:25
8.879,8.8875,8.964,8.9255,8.8705,9.1765,9.393,8.549,2020-02-02 06:01:29
8.8775,8.8845,8.963,8.923,8.87,9.1685,9.3895,8.5475,2020-02-02 06:16:33
8.8765,8.8825,8.962,8.9205,8.869,9.16,9.3855,8.5455,2020-02-02 06:31:37
8.8755,8.881,8.9615,8.9185,8.868,9.1535,9.383,8.5445,2020-02-02 06:46:41
8.875,8.8795,8.9615,8.918,8.867,9.15,9.3815,8.544,2020-02-02 07:01:45
8.875,8.879,8.962,8.9175,8.867,9.148,9.381,8.544,2020-02-02 07:16:49
8.875,8.8785,8.9615,8.917,8.8665,9.147,9.3805,8.544,2020-02-02 07:31:52
8.875,8.879,8.9625,8.9175,8.866,9.1465,9.3805,8.5445,2020-02-02 07:46:56
8.875,8.878,8.962,8.9175,8.866,9.146,9.3805,8.544,2020-02-02 08:02:00
8.8745,8.8785,8.962,8.9175,8.866,9.1455,9.38,8.544,2020-02-02 08:17:04
8.8745,8.879,8.962,8.917,8.8655,9.1445,9.38,8.544,2020-02-02 08:32:08
8.8745,8.879,8.962,8.9165,8.8655,9.144,9.3795,8.5435,2020-02-02 08:47:12
8.8745,8.8785,8.9615,8.9165,8.8655,9.144,9.3795,8.5435,2020-02-02 09:02:16
8.8745,8.879,8.962,8.9165,8.8655,9.144,9.3795,8.5435,2020-02-02 09:17:20
8.874,8.878,8.9615,8.9165,8.865,9.143,9.379,8.5435,2020-02-02 09:32:24
8.8735,8.8775,8.961,8.916,8.865,9.14,9.3775,8.5425,2020-02-02 09:47:27
8.872,8.875,8.9595,8.9135,8.864,9.134,9.3745,8.541,2020-02-02 10:02:31
8.8705,8.873,8.9585,8.911,8.8635,9.126,9.3715,8.5395,2020-02-02 10:17:35
8.869,8.8705,8.957,8.908,8.862,9.117,9.3675,8.537,2020-02-02 10:32:39
8.868,8.8685,8.957,8.906,8.861,9.1105,9.365,8.5365,2020-02-02 10:47:43
8.8675,8.868,8.957,8.906,8.8605,9.1075,9.364,8.536,2020-02-02 11:02:47
8.867,8.8675,8.957,8.9055,8.86,9.105,9.364,8.536,2020-02-02 11:17:51
8.8675,8.866,8.9575,8.9055,8.86,9.104,9.3635,8.536,2020-02-02 11:32:55
8.8675,8.866,8.9575,8.9055,8.8595,9.1035,9.364,8.536,2020-02-02 11:47:58
8.867,8.8655,8.957,8.9055,8.8595,9.103,9.3635,8.536,2020-02-02 12:03:02
8.867,8.866,8.957,8.9055,8.8595,9.1025,9.3635,8.536,2020-02-02 12:18:06
8.8665,8.865,8.957,8.9055,8.8595,9.102,9.3635,8.536,2020-02-02 12:33:10
8.8665,8.8655,8.957,8.9055,8.859,9.102,9.3635,8.5355,2020-02-02 12:48:14
