1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 0D000000694EE941
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Feb 26 12:55:01 CET 2020
Mission Sample Count:  1017
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Feb 26 12:55:01 CET 2020
Total Mission Samples:  1017
Total Device Samples:  13777
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/02/20 12:55:01,%RH,61,316
26/02/20 13:05:01,%RH,79,942
26/02/20 13:15:01,%RH,71,965
26/02/20 13:25:01,%RH,80,502
26/02/20 13:35:01,%RH,73,697
26/02/20 13:45:01,%RH,68,465
26/02/20 13:55:01,%RH,70,221
26/02/20 14:05:01,%RH,69,051
26/02/20 14:15:01,%RH,65,51
26/02/20 14:25:01,%RH,73,697
26/02/20 14:35:01,%RH,77,124
26/02/20 14:45:01,%RH,78,819
26/02/20 14:55:01,%RH,79,382
26/02/20 15:05:01,%RH,79,942
26/02/20 15:15:01,%RH,79,382
26/02/20 15:25:01,%RH,78,256
26/02/20 15:35:01,%RH,78,256
26/02/20 15:45:01,%RH,78,256
26/02/20 15:55:01,%RH,78,256
26/02/20 16:05:01,%RH,78,819
26/02/20 16:15:01,%RH,79,382
26/02/20 16:25:01,%RH,79,942
26/02/20 16:35:01,%RH,79,942
26/02/20 16:45:01,%RH,81,617
26/02/20 16:55:01,%RH,79,382
26/02/20 17:05:01,%RH,76,556
26/02/20 17:15:01,%RH,75,417
26/02/20 17:25:01,%RH,75,417
26/02/20 17:35:01,%RH,75,987
26/02/20 17:45:01,%RH,76,556
26/02/20 17:55:01,%RH,76,556
26/02/20 18:05:01,%RH,78,256
26/02/20 18:15:01,%RH,78,256
26/02/20 18:25:01,%RH,78,256
26/02/20 18:35:01,%RH,78,256
26/02/20 18:45:01,%RH,78,819
26/02/20 18:55:01,%RH,79,382
26/02/20 19:05:01,%RH,78,819
26/02/20 19:15:01,%RH,80,502
26/02/20 19:25:01,%RH,79,942
26/02/20 19:35:01,%RH,81,617
26/02/20 19:45:01,%RH,79,942
26/02/20 19:55:01,%RH,79,942
26/02/20 20:05:01,%RH,80,502
26/02/20 20:15:01,%RH,80,502
26/02/20 20:25:01,%RH,81,06
26/02/20 20:35:01,%RH,79,942
26/02/20 20:45:01,%RH,80,502
26/02/20 20:55:01,%RH,80,502
