1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 42000000694F5E41
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Feb 26 12:56:01 CET 2020
Mission Sample Count:  1017
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Feb 26 12:56:01 CET 2020
Total Mission Samples:  1017
Total Device Samples:  13789
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/02/20 12:56:01,%RH,65,175
26/02/20 13:06:01,%RH,78,693
26/02/20 13:16:01,%RH,69,212
26/02/20 13:26:01,%RH,72,61
26/02/20 13:36:01,%RH,67,492
26/02/20 13:46:01,%RH,59,274
26/02/20 13:56:01,%RH,62,834
26/02/20 14:06:01,%RH,62,245
26/02/20 14:16:01,%RH,61,061
26/02/20 14:26:01,%RH,68,64
26/02/20 14:36:01,%RH,74,288
26/02/20 14:46:01,%RH,76,503
26/02/20 14:56:01,%RH,76,503
26/02/20 15:06:01,%RH,77,053
26/02/20 15:16:01,%RH,76,503
26/02/20 15:26:01,%RH,74,844
26/02/20 15:36:01,%RH,74,844
26/02/20 15:46:01,%RH,75,399
26/02/20 15:56:01,%RH,75,952
26/02/20 16:06:01,%RH,77,601
26/02/20 16:16:01,%RH,77,601
26/02/20 16:26:01,%RH,78,693
26/02/20 16:36:01,%RH,78,693
26/02/20 16:46:01,%RH,79,778
26/02/20 16:56:01,%RH,79,236
26/02/20 17:06:01,%RH,78,693
26/02/20 17:16:01,%RH,79,236
26/02/20 17:26:01,%RH,78,148
26/02/20 17:36:01,%RH,78,148
26/02/20 17:46:01,%RH,79,236
26/02/20 17:56:01,%RH,79,236
26/02/20 18:06:01,%RH,79,778
26/02/20 18:16:01,%RH,80,318
26/02/20 18:26:01,%RH,79,236
26/02/20 18:36:01,%RH,79,778
26/02/20 18:46:01,%RH,78,693
26/02/20 18:56:01,%RH,79,236
26/02/20 19:06:01,%RH,77,601
26/02/20 19:16:01,%RH,77,053
26/02/20 19:26:01,%RH,77,601
26/02/20 19:36:01,%RH,76,503
26/02/20 19:46:01,%RH,77,601
26/02/20 19:56:01,%RH,77,053
26/02/20 20:06:01,%RH,75,952
26/02/20 20:16:01,%RH,76,503
26/02/20 20:26:01,%RH,76,503
26/02/20 20:36:01,%RH,77,053
