1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A3000000694F0441
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Feb 26 13:02:01 CET 2020
Mission Sample Count:  1019
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Feb 26 13:02:01 CET 2020
Total Mission Samples:  1019
Total Device Samples:  13772
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/02/20 13:02:01,C,23,107
26/02/20 13:12:01,C,22,607
26/02/20 13:22:01,C,23,607
26/02/20 13:32:01,C,25,607
26/02/20 13:42:01,C,26,107
26/02/20 13:52:01,C,26,607
26/02/20 14:02:01,C,27,107
26/02/20 14:12:01,C,26,107
26/02/20 14:22:01,C,24,607
26/02/20 14:32:01,C,24,607
26/02/20 14:42:01,C,24,607
26/02/20 14:52:01,C,24,107
26/02/20 15:02:01,C,24,107
26/02/20 15:12:01,C,24,107
26/02/20 15:22:01,C,24,107
26/02/20 15:32:01,C,24,107
26/02/20 15:42:01,C,24,107
26/02/20 15:52:01,C,24,107
26/02/20 16:02:01,C,23,607
26/02/20 16:12:01,C,26,607
26/02/20 16:22:01,C,26,607
26/02/20 16:32:01,C,27,107
26/02/20 16:42:01,C,28,106
26/02/20 16:52:01,C,28,606
26/02/20 17:02:01,C,28,606
26/02/20 17:12:01,C,28,606
26/02/20 17:22:01,C,28,606
26/02/20 17:32:01,C,28,606
26/02/20 17:42:01,C,28,606
26/02/20 17:52:01,C,28,606
26/02/20 18:02:01,C,29,106
26/02/20 18:12:01,C,29,106
26/02/20 18:22:01,C,28,606
26/02/20 18:32:01,C,29,106
26/02/20 18:42:01,C,28,606
26/02/20 18:52:01,C,29,106
26/02/20 19:02:01,C,28,606
26/02/20 19:12:01,C,28,606
26/02/20 19:22:01,C,28,606
26/02/20 19:32:01,C,28,606
26/02/20 19:42:01,C,29,106
26/02/20 19:52:01,C,28,606
26/02/20 20:02:01,C,28,606
26/02/20 20:12:01,C,28,606
26/02/20 20:22:01,C,28,606
26/02/20 20:32:01,C,28,606
26/02/20 20:42:01,C,28,606
26/02/20 20:52:01,C,28,606
26/02/20 21:02:01,C,28,606
26/02/20 21:12:01,C,28,606
26/02/20 21:22:01,C,29,106
26/02/20 21:32:01,C,28,606
26/02/20 21:42:01,C,28,606
26/02/20 21:52:01,C,29,106
26/02/20 22:02:01,C,28,606
26/02/20 22:12:01,C,28,606
26/02/20 22:22:01,C,28,606
26/02/20 22:32:01,C,28,606
26/02/20 22:42:01,C,28,606
26/02/20 22:52:01,C,28,606
26/02/20 23:02:01,C,28,606
26/02/20 23:12:01,C,28,606
26/02/20 23:22:01,C,28,606
26/02/20 23:32:01,C,28,606
26/02/20 23:42:01,C,28,606
26/02/20 23:52:01,C,28,606
27/02/20 00:02:01,C,28,606
27/02/20 00:12:01,C,28,606
27/02/20 00:22:01,C,28,606
27/02/20 00:32:01,C,28,606
27/02/20 00:42:01,C,28,606
