1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: C6000000694EC541
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Feb 26 12:58:01 CET 2020
Mission Sample Count:  1020
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Feb 26 12:58:01 CET 2020
Total Mission Samples:  1020
Total Device Samples:  13776
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/02/20 12:58:01,%RH,44,63
26/02/20 13:08:01,%RH,50,977
26/02/20 13:18:01,%RH,54,708
26/02/20 13:28:01,%RH,51,603
26/02/20 13:38:01,%RH,47,823
26/02/20 13:48:01,%RH,45,272
26/02/20 13:58:01,%RH,42,694
26/02/20 14:08:01,%RH,42,046
26/02/20 14:18:01,%RH,55,938
26/02/20 14:28:01,%RH,62,592
26/02/20 14:38:01,%RH,66,139
26/02/20 14:48:01,%RH,67,308
26/02/20 14:58:01,%RH,67,89
26/02/20 15:08:01,%RH,67,89
26/02/20 15:18:01,%RH,69,05
26/02/20 15:28:01,%RH,69,627
26/02/20 15:38:01,%RH,69,627
26/02/20 15:48:01,%RH,70,203
26/02/20 15:58:01,%RH,70,777
26/02/20 16:08:01,%RH,63,781
26/02/20 16:18:01,%RH,42,046
26/02/20 16:28:01,%RH,42,694
26/02/20 16:38:01,%RH,42,694
26/02/20 16:48:01,%RH,41,396
26/02/20 16:58:01,%RH,40,091
26/02/20 17:08:01,%RH,38,779
26/02/20 17:18:01,%RH,38,779
26/02/20 17:28:01,%RH,42,046
26/02/20 17:38:01,%RH,40,091
26/02/20 17:48:01,%RH,40,091
26/02/20 17:58:01,%RH,42,694
26/02/20 18:08:01,%RH,40,091
26/02/20 18:18:01,%RH,38,779
26/02/20 18:28:01,%RH,42,046
26/02/20 18:38:01,%RH,40,744
26/02/20 18:48:01,%RH,42,046
26/02/20 18:58:01,%RH,40,091
26/02/20 19:08:01,%RH,39,436
26/02/20 19:18:01,%RH,41,396
26/02/20 19:28:01,%RH,41,396
26/02/20 19:38:01,%RH,40,744
26/02/20 19:48:01,%RH,38,779
26/02/20 19:58:01,%RH,42,046
26/02/20 20:08:01,%RH,39,436
26/02/20 20:18:01,%RH,41,396
26/02/20 20:28:01,%RH,40,091
26/02/20 20:38:01,%RH,40,744
26/02/20 20:48:01,%RH,39,436
26/02/20 20:58:01,%RH,40,744
26/02/20 21:08:01,%RH,40,091
26/02/20 21:18:01,%RH,40,744
26/02/20 21:28:01,%RH,40,091
26/02/20 21:38:01,%RH,40,744
26/02/20 21:48:01,%RH,40,744
26/02/20 21:58:01,%RH,38,779
26/02/20 22:08:01,%RH,40,744
26/02/20 22:18:01,%RH,38,121
26/02/20 22:28:01,%RH,40,744
26/02/20 22:38:01,%RH,39,436
26/02/20 22:48:01,%RH,38,779
26/02/20 22:58:01,%RH,40,091
26/02/20 23:08:01,%RH,39,436
26/02/20 23:18:01,%RH,40,091
26/02/20 23:28:01,%RH,40,091
26/02/20 23:38:01,%RH,40,091
26/02/20 23:48:01,%RH,40,091
26/02/20 23:58:01,%RH,40,091
27/02/20 00:08:01,%RH,40,091
27/02/20 00:18:01,%RH,40,091
27/02/20 00:28:01,%RH,39,436
27/02/20 00:38:01,%RH,39,436
27/02/20 00:48:01,%RH,39,436
27/02/20 00:58:01,%RH,40,091
27/02/20 01:08:01,%RH,39,436
27/02/20 01:18:01,%RH,40,091
27/02/20 01:28:01,%RH,40,091
27/02/20 01:38:01,%RH,39,436
27/02/20 01:48:01,%RH,40,091
27/02/20 01:58:01,%RH,39,436
27/02/20 02:08:01,%RH,39,436
27/02/20 02:18:01,%RH,39,436
27/02/20 02:28:01,%RH,38,779
27/02/20 02:38:01,%RH,39,436
27/02/20 02:48:01,%RH,39,436
27/02/20 02:58:01,%RH,38,779
27/02/20 03:08:01,%RH,39,436
27/02/20 03:18:01,%RH,38,779
27/02/20 03:28:01,%RH,39,436
27/02/20 03:38:01,%RH,39,436
27/02/20 03:48:01,%RH,38,779
27/02/20 03:58:01,%RH,39,436
27/02/20 04:08:01,%RH,38,779
27/02/20 04:18:01,%RH,38,779
27/02/20 04:28:01,%RH,38,779
27/02/20 04:38:01,%RH,38,779
27/02/20 04:48:01,%RH,39,436
27/02/20 04:58:01,%RH,38,779
27/02/20 05:08:01,%RH,38,121
27/02/20 05:18:01,%RH,38,121
27/02/20 05:28:01,%RH,37,462
27/02/20 05:38:01,%RH,38,121
27/02/20 05:48:01,%RH,38,121
27/02/20 05:58:01,%RH,38,779
27/02/20 06:08:01,%RH,38,121
27/02/20 06:18:01,%RH,40,091
27/02/20 06:28:01,%RH,39,436
27/02/20 06:38:01,%RH,39,436
27/02/20 06:48:01,%RH,38,779
27/02/20 06:58:01,%RH,38,779
27/02/20 07:08:01,%RH,39,436
27/02/20 07:18:01,%RH,40,091
27/02/20 07:28:01,%RH,39,436
27/02/20 07:38:01,%RH,39,436
27/02/20 07:48:01,%RH,40,091
27/02/20 07:58:01,%RH,40,091
27/02/20 08:08:01,%RH,40,091
27/02/20 08:18:01,%RH,40,744
27/02/20 08:28:01,%RH,43,341
27/02/20 08:38:01,%RH,50,349
27/02/20 08:48:01,%RH,53,47
27/02/20 08:58:01,%RH,53,47
27/02/20 09:08:01,%RH,52,849
27/02/20 09:18:01,%RH,58,38
27/02/20 09:28:01,%RH,52,849
27/02/20 09:38:01,%RH,53,47
27/02/20 09:48:01,%RH,57,163
27/02/20 09:58:01,%RH,54,708
27/02/20 10:08:01,%RH,57,772
27/02/20 10:18:01,%RH,51,603
27/02/20 10:28:01,%RH,57,163
27/02/20 10:38:01,%RH,58,987
27/02/20 10:48:01,%RH,56,551
27/02/20 10:58:01,%RH,53,47
27/02/20 11:08:01,%RH,58,987
27/02/20 11:18:01,%RH,52,849
27/02/20 11:28:01,%RH,58,38
27/02/20 11:38:01,%RH,52,227
27/02/20 11:48:01,%RH,59,592
27/02/20 11:58:01,%RH,55,938
27/02/20 12:08:01,%RH,60,195
27/02/20 12:18:01,%RH,48,457
27/02/20 12:28:01,%RH,47,188
27/02/20 12:38:01,%RH,47,188
27/02/20 12:48:01,%RH,45,272
27/02/20 12:58:01,%RH,43,986
27/02/20 13:08:01,%RH,44,63
27/02/20 13:18:01,%RH,44,63
27/02/20 13:28:01,%RH,42,694
27/02/20 13:38:01,%RH,42,046
27/02/20 13:48:01,%RH,44,63
27/02/20 13:58:01,%RH,43,341
27/02/20 14:08:01,%RH,42,046
27/02/20 14:18:01,%RH,41,396
27/02/20 14:28:01,%RH,40,091
27/02/20 14:38:01,%RH,44,63
27/02/20 14:48:01,%RH,44,63
27/02/20 14:58:01,%RH,42,694
27/02/20 15:08:01,%RH,41,396
27/02/20 15:18:01,%RH,40,091
27/02/20 15:28:01,%RH,42,694
27/02/20 15:38:01,%RH,45,272
27/02/20 15:48:01,%RH,43,341
27/02/20 15:58:01,%RH,42,046
27/02/20 16:08:01,%RH,41,396
27/02/20 16:18:01,%RH,40,091
27/02/20 16:28:01,%RH,39,436
27/02/20 16:38:01,%RH,38,779
27/02/20 16:48:01,%RH,43,341
27/02/20 16:58:01,%RH,42,694
27/02/20 17:08:01,%RH,41,396
27/02/20 17:18:01,%RH,41,396
27/02/20 17:28:01,%RH,39,436
27/02/20 17:38:01,%RH,38,779
27/02/20 17:48:01,%RH,40,744
27/02/20 17:58:01,%RH,45,272
27/02/20 18:08:01,%RH,41,396
27/02/20 18:18:01,%RH,40,744
27/02/20 18:28:01,%RH,39,436
27/02/20 18:38:01,%RH,41,396
27/02/20 18:48:01,%RH,42,694
27/02/20 18:58:01,%RH,42,046
27/02/20 19:08:01,%RH,40,744
27/02/20 19:18:01,%RH,40,091
27/02/20 19:28:01,%RH,45,912
27/02/20 19:38:01,%RH,42,694
27/02/20 19:48:01,%RH,41,396
27/02/20 19:58:01,%RH,40,091
27/02/20 20:08:01,%RH,44,63
27/02/20 20:18:01,%RH,43,341
27/02/20 20:28:01,%RH,42,046
27/02/20 20:38:01,%RH,40,091
27/02/20 20:48:01,%RH,43,986
27/02/20 20:58:01,%RH,42,046
27/02/20 21:08:01,%RH,42,694
27/02/20 21:18:01,%RH,43,986
27/02/20 21:28:01,%RH,42,694
27/02/20 21:38:01,%RH,41,396
27/02/20 21:48:01,%RH,42,046
27/02/20 21:58:01,%RH,44,63
27/02/20 22:08:01,%RH,42,694
27/02/20 22:18:01,%RH,42,046
27/02/20 22:28:01,%RH,43,341
27/02/20 22:38:01,%RH,44,63
27/02/20 22:48:01,%RH,42,694
27/02/20 22:58:01,%RH,41,396
27/02/20 23:08:01,%RH,44,63
27/02/20 23:18:01,%RH,42,694
27/02/20 23:28:01,%RH,42,046
27/02/20 23:38:01,%RH,45,272
27/02/20 23:48:01,%RH,43,986
27/02/20 23:58:01,%RH,42,046
28/02/20 00:08:01,%RH,44,63
28/02/20 00:18:01,%RH,43,986
28/02/20 00:28:01,%RH,42,046
28/02/20 00:38:01,%RH,42,046
28/02/20 00:48:01,%RH,45,912
28/02/20 00:58:01,%RH,43,341
28/02/20 01:08:01,%RH,43,341
