1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: C20000006952C641
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Feb 26 13:01:01 CET 2020
Mission Sample Count:  1020
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Feb 26 13:01:01 CET 2020
Total Mission Samples:  1020
Total Device Samples:  13793
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/02/20 13:01:01,C,23,054
26/02/20 13:11:01,C,21,554
26/02/20 13:21:01,C,22,054
26/02/20 13:31:01,C,23,554
26/02/20 13:41:01,C,24,555
26/02/20 13:51:01,C,24,555
26/02/20 14:01:01,C,25,055
26/02/20 14:11:01,C,24,555
26/02/20 14:21:01,C,24,055
26/02/20 14:31:01,C,24,555
26/02/20 14:41:01,C,24,055
26/02/20 14:51:01,C,24,055
26/02/20 15:01:01,C,24,055
26/02/20 15:11:01,C,24,055
26/02/20 15:21:01,C,24,055
26/02/20 15:31:01,C,24,055
26/02/20 15:41:01,C,23,554
26/02/20 15:51:01,C,23,554
26/02/20 16:01:01,C,23,554
26/02/20 16:11:01,C,25,555
26/02/20 16:21:01,C,25,055
26/02/20 16:31:01,C,25,555
26/02/20 16:41:01,C,26,055
26/02/20 16:51:01,C,26,555
26/02/20 17:01:01,C,26,555
26/02/20 17:11:01,C,26,555
26/02/20 17:21:01,C,26,555
26/02/20 17:31:01,C,27,054
26/02/20 17:41:01,C,27,054
26/02/20 17:51:01,C,27,054
26/02/20 18:01:01,C,27,054
26/02/20 18:11:01,C,27,054
26/02/20 18:21:01,C,27,054
26/02/20 18:31:01,C,27,054
26/02/20 18:41:01,C,27,054
26/02/20 18:51:01,C,27,054
26/02/20 19:01:01,C,27,054
26/02/20 19:11:01,C,27,054
26/02/20 19:21:01,C,27,054
26/02/20 19:31:01,C,27,054
26/02/20 19:41:01,C,27,054
26/02/20 19:51:01,C,27,054
26/02/20 20:01:01,C,27,054
26/02/20 20:11:01,C,27,054
26/02/20 20:21:01,C,27,054
26/02/20 20:31:01,C,27,054
26/02/20 20:41:01,C,27,054
26/02/20 20:51:01,C,27,054
26/02/20 21:01:01,C,27,054
26/02/20 21:11:01,C,27,054
26/02/20 21:21:01,C,27,054
26/02/20 21:31:01,C,27,054
26/02/20 21:41:01,C,27,054
26/02/20 21:51:01,C,27,054
26/02/20 22:01:01,C,27,054
26/02/20 22:11:01,C,27,054
26/02/20 22:21:01,C,27,054
26/02/20 22:31:01,C,27,054
26/02/20 22:41:01,C,27,054
26/02/20 22:51:01,C,27,054
26/02/20 23:01:01,C,27,054
26/02/20 23:11:01,C,27,054
26/02/20 23:21:01,C,27,054
26/02/20 23:31:01,C,27,054
26/02/20 23:41:01,C,27,054
26/02/20 23:51:01,C,27,054
27/02/20 00:01:01,C,27,054
27/02/20 00:11:01,C,27,054
27/02/20 00:21:01,C,27,054
27/02/20 00:31:01,C,27,054
27/02/20 00:41:01,C,27,054
27/02/20 00:51:01,C,27,054
27/02/20 01:01:01,C,27,054
27/02/20 01:11:01,C,27,054
27/02/20 01:21:01,C,27,054
27/02/20 01:31:01,C,26,555
27/02/20 01:41:01,C,26,555
27/02/20 01:51:01,C,27,054
27/02/20 02:01:01,C,27,054
27/02/20 02:11:01,C,27,054
27/02/20 02:21:01,C,27,054
27/02/20 02:31:01,C,27,054
27/02/20 02:41:01,C,26,555
27/02/20 02:51:01,C,26,555
27/02/20 03:01:01,C,27,054
27/02/20 03:11:01,C,27,054
27/02/20 03:21:01,C,26,555
27/02/20 03:31:01,C,27,054
27/02/20 03:41:01,C,26,555
27/02/20 03:51:01,C,26,555
27/02/20 04:01:01,C,26,555
27/02/20 04:11:01,C,26,555
27/02/20 04:21:01,C,26,555
27/02/20 04:31:01,C,26,555
27/02/20 04:41:01,C,26,555
27/02/20 04:51:01,C,27,054
27/02/20 05:01:01,C,27,054
27/02/20 05:11:01,C,27,054
27/02/20 05:21:01,C,27,554
27/02/20 05:31:01,C,27,554
27/02/20 05:41:01,C,27,554
27/02/20 05:51:01,C,27,554
27/02/20 06:01:01,C,27,554
27/02/20 06:11:01,C,27,554
27/02/20 06:21:01,C,27,554
27/02/20 06:31:01,C,27,554
27/02/20 06:41:01,C,27,554
27/02/20 06:51:01,C,27,554
27/02/20 07:01:01,C,27,554
27/02/20 07:11:01,C,27,554
27/02/20 07:21:01,C,27,554
27/02/20 07:31:01,C,27,554
27/02/20 07:41:01,C,27,554
27/02/20 07:51:01,C,27,554
27/02/20 08:01:01,C,27,554
27/02/20 08:11:01,C,25,555
27/02/20 08:21:01,C,23,054
27/02/20 08:31:01,C,21,554
27/02/20 08:41:01,C,21,554
27/02/20 08:51:01,C,21,554
27/02/20 09:01:01,C,22,054
27/02/20 09:11:01,C,22,054
27/02/20 09:21:01,C,22,054
27/02/20 09:31:01,C,22,054
27/02/20 09:41:01,C,21,554
27/02/20 09:51:01,C,22,054
27/02/20 10:01:01,C,22,054
27/02/20 10:11:01,C,22,054
27/02/20 10:21:01,C,22,054
27/02/20 10:31:01,C,22,054
27/02/20 10:41:01,C,21,554
27/02/20 10:51:01,C,21,554
27/02/20 11:01:01,C,22,054
27/02/20 11:11:01,C,21,554
27/02/20 11:21:01,C,22,054
27/02/20 11:31:01,C,21,554
27/02/20 11:41:01,C,22,054
27/02/20 11:51:01,C,21,554
27/02/20 12:01:01,C,22,054
27/02/20 12:11:01,C,22,054
27/02/20 12:21:01,C,23,054
27/02/20 12:31:01,C,23,554
27/02/20 12:41:01,C,24,055
27/02/20 12:51:01,C,24,555
27/02/20 13:01:01,C,25,055
27/02/20 13:11:01,C,25,555
27/02/20 13:21:01,C,26,055
27/02/20 13:31:01,C,26,055
27/02/20 13:41:01,C,26,055
27/02/20 13:51:01,C,26,055
27/02/20 14:01:01,C,26,555
27/02/20 14:11:01,C,26,555
27/02/20 14:21:01,C,26,055
27/02/20 14:31:01,C,26,055
27/02/20 14:41:01,C,26,055
27/02/20 14:51:01,C,26,555
27/02/20 15:01:01,C,26,555
27/02/20 15:11:01,C,26,555
27/02/20 15:21:01,C,26,555
27/02/20 15:31:01,C,26,055
27/02/20 15:41:01,C,26,555
27/02/20 15:51:01,C,26,555
27/02/20 16:01:01,C,26,555
27/02/20 16:11:01,C,26,555
27/02/20 16:21:01,C,26,555
27/02/20 16:31:01,C,26,555
27/02/20 16:41:01,C,26,055
27/02/20 16:51:01,C,26,555
27/02/20 17:01:01,C,26,555
27/02/20 17:11:01,C,26,555
27/02/20 17:21:01,C,26,555
27/02/20 17:31:01,C,26,555
27/02/20 17:41:01,C,26,055
27/02/20 17:51:01,C,26,055
27/02/20 18:01:01,C,26,555
27/02/20 18:11:01,C,26,555
27/02/20 18:21:01,C,26,555
27/02/20 18:31:01,C,26,555
27/02/20 18:41:01,C,26,555
27/02/20 18:51:01,C,26,555
27/02/20 19:01:01,C,26,555
27/02/20 19:11:01,C,26,555
27/02/20 19:21:01,C,26,555
27/02/20 19:31:01,C,27,054
27/02/20 19:41:01,C,27,054
27/02/20 19:51:01,C,27,054
27/02/20 20:01:01,C,26,555
27/02/20 20:11:01,C,27,054
27/02/20 20:21:01,C,27,054
27/02/20 20:31:01,C,27,054
27/02/20 20:41:01,C,26,555
27/02/20 20:51:01,C,27,054
27/02/20 21:01:01,C,27,054
27/02/20 21:11:01,C,26,555
27/02/20 21:21:01,C,26,555
27/02/20 21:31:01,C,27,054
27/02/20 21:41:01,C,26,555
27/02/20 21:51:01,C,26,555
27/02/20 22:01:01,C,27,054
27/02/20 22:11:01,C,27,054
27/02/20 22:21:01,C,27,054
27/02/20 22:31:01,C,26,555
27/02/20 22:41:01,C,27,054
27/02/20 22:51:01,C,27,054
27/02/20 23:01:01,C,26,555
27/02/20 23:11:01,C,27,054
27/02/20 23:21:01,C,27,054
27/02/20 23:31:01,C,26,555
27/02/20 23:41:01,C,27,054
27/02/20 23:51:01,C,27,054
28/02/20 00:01:01,C,27,054
28/02/20 00:11:01,C,27,054
28/02/20 00:21:01,C,27,054
28/02/20 00:31:01,C,26,555
28/02/20 00:41:01,C,26,555
28/02/20 00:51:01,C,27,054
28/02/20 01:01:01,C,27,054
28/02/20 01:11:01,C,26,555
28/02/20 01:21:01,C,26,555
28/02/20 01:31:01,C,27,054
28/02/20 01:41:01,C,27,054
28/02/20 01:51:01,C,27,054
28/02/20 02:01:01,C,27,054
28/02/20 02:11:01,C,27,054
28/02/20 02:21:01,C,27,054
28/02/20 02:31:01,C,27,054
28/02/20 02:41:01,C,27,054
28/02/20 02:51:01,C,27,054
28/02/20 03:01:01,C,27,054
28/02/20 03:11:01,C,27,054
28/02/20 03:21:01,C,27,054
28/02/20 03:31:01,C,27,054
28/02/20 03:41:01,C,26,555
28/02/20 03:51:01,C,27,054
28/02/20 04:01:01,C,27,054
28/02/20 04:11:01,C,27,054
28/02/20 04:21:01,C,24,555
28/02/20 04:31:01,C,22,554
28/02/20 04:41:01,C,21,053
28/02/20 04:51:01,C,21,554
28/02/20 05:01:01,C,21,554
28/02/20 05:11:01,C,21,554
28/02/20 05:21:01,C,21,554
28/02/20 05:31:01,C,22,054
28/02/20 05:41:01,C,21,554
28/02/20 05:51:01,C,21,554
28/02/20 06:01:01,C,21,554
28/02/20 06:11:01,C,21,554
28/02/20 06:21:01,C,21,554
28/02/20 06:31:01,C,21,554
28/02/20 06:41:01,C,21,554
28/02/20 06:51:01,C,21,554
28/02/20 07:01:01,C,21,554
28/02/20 07:11:01,C,21,554
28/02/20 07:21:01,C,21,554
28/02/20 07:31:01,C,21,554
28/02/20 07:41:01,C,21,554
28/02/20 07:51:01,C,21,554
28/02/20 08:01:01,C,21,554
28/02/20 08:11:01,C,21,554
28/02/20 08:21:01,C,21,554
28/02/20 08:31:01,C,21,554
28/02/20 08:41:01,C,21,554
28/02/20 08:51:01,C,21,554
28/02/20 09:01:01,C,22,054
28/02/20 09:11:01,C,21,554
28/02/20 09:21:01,C,21,554
28/02/20 09:31:01,C,21,554
28/02/20 09:41:01,C,21,554
28/02/20 09:51:01,C,21,554
28/02/20 10:01:01,C,21,554
28/02/20 10:11:01,C,21,554
28/02/20 10:21:01,C,22,054
28/02/20 10:31:01,C,21,554
28/02/20 10:41:01,C,21,554
28/02/20 10:51:01,C,21,554
28/02/20 11:01:01,C,21,554
28/02/20 11:11:01,C,21,554
28/02/20 11:21:01,C,21,554
28/02/20 11:31:01,C,21,554
28/02/20 11:41:01,C,22,054
28/02/20 11:51:01,C,21,554
28/02/20 12:01:01,C,21,554
28/02/20 12:11:01,C,22,054
28/02/20 12:21:01,C,22,554
28/02/20 12:31:01,C,23,554
28/02/20 12:41:01,C,24,055
28/02/20 12:51:01,C,25,055
28/02/20 13:01:01,C,25,555
28/02/20 13:11:01,C,25,555
28/02/20 13:21:01,C,25,555
28/02/20 13:31:01,C,26,055
28/02/20 13:41:01,C,26,055
28/02/20 13:51:01,C,26,055
28/02/20 14:01:01,C,26,055
28/02/20 14:11:01,C,26,055
28/02/20 14:21:01,C,26,055
28/02/20 14:31:01,C,26,055
28/02/20 14:41:01,C,26,555
28/02/20 14:51:01,C,26,555
28/02/20 15:01:01,C,26,555
28/02/20 15:11:01,C,26,555
28/02/20 15:21:01,C,26,555
28/02/20 15:31:01,C,26,555
28/02/20 15:41:01,C,26,555
28/02/20 15:51:01,C,26,555
28/02/20 16:01:01,C,26,555
28/02/20 16:11:01,C,26,555
28/02/20 16:21:01,C,26,555
28/02/20 16:31:01,C,26,555
28/02/20 16:41:01,C,26,555
28/02/20 16:51:01,C,26,555
28/02/20 17:01:01,C,26,555
28/02/20 17:11:01,C,26,555
28/02/20 17:21:01,C,27,054
28/02/20 17:31:01,C,27,054
28/02/20 17:41:01,C,26,555
28/02/20 17:51:01,C,26,555
28/02/20 18:01:01,C,26,555
28/02/20 18:11:01,C,27,054
28/02/20 18:21:01,C,26,555
28/02/20 18:31:01,C,26,555
28/02/20 18:41:01,C,26,555
28/02/20 18:51:01,C,27,054
28/02/20 19:01:01,C,27,054
28/02/20 19:11:01,C,26,555
28/02/20 19:21:01,C,26,555
28/02/20 19:31:01,C,26,555
28/02/20 19:41:01,C,26,555
28/02/20 19:51:01,C,27,054
28/02/20 20:01:01,C,26,555
28/02/20 20:11:01,C,26,555
28/02/20 20:21:01,C,26,555
28/02/20 20:31:01,C,27,054
28/02/20 20:41:01,C,27,054
28/02/20 20:51:01,C,26,555
28/02/20 21:01:01,C,26,555
28/02/20 21:11:01,C,26,555
28/02/20 21:21:01,C,27,054
28/02/20 21:31:01,C,26,555
28/02/20 21:41:01,C,26,555
28/02/20 21:51:01,C,27,054
28/02/20 22:01:01,C,27,054
28/02/20 22:11:01,C,27,054
28/02/20 22:21:01,C,27,054
28/02/20 22:31:01,C,27,054
28/02/20 22:41:01,C,27,054
28/02/20 22:51:01,C,26,555
28/02/20 23:01:01,C,27,054
28/02/20 23:11:01,C,27,054
28/02/20 23:21:01,C,27,054
28/02/20 23:31:01,C,26,555
28/02/20 23:41:01,C,27,054
28/02/20 23:51:01,C,27,054
29/02/20 00:01:01,C,27,054
29/02/20 00:11:01,C,27,054
29/02/20 00:21:01,C,27,054
29/02/20 00:31:01,C,26,555
29/02/20 00:41:01,C,26,555
29/02/20 00:51:01,C,27,054
29/02/20 01:01:01,C,26,555
29/02/20 01:11:01,C,27,054
29/02/20 01:21:01,C,27,054
29/02/20 01:31:01,C,26,555
29/02/20 01:41:01,C,27,054
29/02/20 01:51:01,C,27,054
29/02/20 02:01:01,C,27,054
29/02/20 02:11:01,C,27,054
29/02/20 02:21:01,C,27,054
29/02/20 02:31:01,C,27,054
29/02/20 02:41:01,C,27,054
29/02/20 02:51:01,C,27,054
29/02/20 03:01:01,C,27,054
29/02/20 03:11:01,C,27,054
29/02/20 03:21:01,C,27,054
29/02/20 03:31:01,C,27,054
29/02/20 03:41:01,C,27,054
29/02/20 03:51:01,C,27,054
29/02/20 04:01:01,C,27,054
29/02/20 04:11:01,C,27,054
29/02/20 04:21:01,C,25,055
29/02/20 04:31:01,C,22,554
29/02/20 04:41:01,C,21,053
29/02/20 04:51:01,C,21,554
29/02/20 05:01:01,C,21,554
29/02/20 05:11:01,C,21,554
29/02/20 05:21:01,C,21,554
29/02/20 05:31:01,C,21,554
29/02/20 05:41:01,C,21,554
29/02/20 05:51:01,C,21,554
29/02/20 06:01:01,C,21,554
29/02/20 06:11:01,C,21,554
29/02/20 06:21:01,C,21,554
29/02/20 06:31:01,C,21,554
29/02/20 06:41:01,C,21,554
29/02/20 06:51:01,C,21,554
29/02/20 07:01:01,C,21,554
29/02/20 07:11:01,C,21,554
29/02/20 07:21:01,C,21,554
29/02/20 07:31:01,C,21,554
29/02/20 07:41:01,C,21,554
29/02/20 07:51:01,C,21,554
29/02/20 08:01:01,C,21,554
29/02/20 08:11:01,C,21,554
29/02/20 08:21:01,C,21,554
29/02/20 08:31:01,C,21,554
29/02/20 08:41:01,C,21,554
29/02/20 08:51:01,C,21,554
29/02/20 09:01:01,C,21,554
29/02/20 09:11:01,C,21,554
29/02/20 09:21:01,C,21,554
29/02/20 09:31:01,C,21,554
29/02/20 09:41:01,C,21,554
29/02/20 09:51:01,C,21,554
29/02/20 10:01:01,C,21,554
29/02/20 10:11:01,C,21,554
29/02/20 10:21:01,C,21,554
29/02/20 10:31:01,C,21,554
29/02/20 10:41:01,C,21,554
29/02/20 10:51:01,C,21,554
29/02/20 11:01:01,C,21,554
29/02/20 11:11:01,C,21,554
29/02/20 11:21:01,C,21,554
29/02/20 11:31:01,C,21,554
29/02/20 11:41:01,C,21,554
29/02/20 11:51:01,C,21,554
29/02/20 12:01:01,C,21,554
29/02/20 12:11:01,C,21,554
29/02/20 12:21:01,C,22,554
29/02/20 12:31:01,C,23,554
29/02/20 12:41:01,C,24,055
29/02/20 12:51:01,C,24,555
29/02/20 13:01:01,C,25,055
29/02/20 13:11:01,C,25,555
29/02/20 13:21:01,C,25,555
29/02/20 13:31:01,C,25,555
29/02/20 13:41:01,C,26,055
29/02/20 13:51:01,C,26,055
29/02/20 14:01:01,C,26,055
29/02/20 14:11:01,C,26,055
29/02/20 14:21:01,C,26,555
29/02/20 14:31:01,C,26,555
29/02/20 14:41:01,C,26,055
29/02/20 14:51:01,C,26,055
29/02/20 15:01:01,C,26,555
29/02/20 15:11:01,C,26,555
29/02/20 15:21:01,C,26,555
29/02/20 15:31:01,C,26,555
29/02/20 15:41:01,C,26,555
29/02/20 15:51:01,C,26,555
29/02/20 16:01:01,C,26,055
29/02/20 16:11:01,C,26,055
29/02/20 16:21:01,C,26,555
29/02/20 16:31:01,C,26,555
29/02/20 16:41:01,C,26,555
29/02/20 16:51:01,C,26,555
29/02/20 17:01:01,C,26,555
29/02/20 17:11:01,C,26,555
29/02/20 17:21:01,C,26,555
29/02/20 17:31:01,C,26,555
29/02/20 17:41:01,C,26,555
29/02/20 17:51:01,C,26,555
29/02/20 18:01:01,C,26,555
29/02/20 18:11:01,C,26,555
29/02/20 18:21:01,C,26,555
29/02/20 18:31:01,C,26,555
29/02/20 18:41:01,C,27,054
29/02/20 18:51:01,C,27,054
29/02/20 19:01:01,C,26,555
29/02/20 19:11:01,C,26,555
29/02/20 19:21:01,C,26,555
29/02/20 19:31:01,C,27,054
29/02/20 19:41:01,C,26,555
29/02/20 19:51:01,C,26,555
29/02/20 20:01:01,C,26,555
29/02/20 20:11:01,C,26,555
29/02/20 20:21:01,C,26,555
29/02/20 20:31:01,C,26,555
29/02/20 20:41:01,C,26,555
29/02/20 20:51:01,C,26,555
29/02/20 21:01:01,C,26,555
29/02/20 21:11:01,C,26,555
29/02/20 21:21:01,C,26,555
29/02/20 21:31:01,C,26,555
29/02/20 21:41:01,C,26,555
29/02/20 21:51:01,C,26,555
29/02/20 22:01:01,C,26,555
29/02/20 22:11:01,C,26,555
29/02/20 22:21:01,C,26,555
29/02/20 22:31:01,C,27,054
29/02/20 22:41:01,C,26,555
29/02/20 22:51:01,C,26,555
29/02/20 23:01:01,C,27,054
29/02/20 23:11:01,C,26,555
29/02/20 23:21:01,C,26,555
29/02/20 23:31:01,C,26,555
29/02/20 23:41:01,C,26,555
29/02/20 23:51:01,C,26,555
01/03/20 00:01:01,C,26,555
01/03/20 00:11:01,C,27,054
01/03/20 00:21:01,C,26,555
01/03/20 00:31:01,C,26,555
01/03/20 00:41:01,C,27,054
01/03/20 00:51:01,C,27,054
01/03/20 01:01:01,C,27,054
01/03/20 01:11:01,C,27,054
01/03/20 01:21:01,C,27,054
01/03/20 01:31:01,C,27,054
01/03/20 01:41:01,C,27,054
01/03/20 01:51:01,C,27,054
01/03/20 02:01:01,C,27,054
01/03/20 02:11:01,C,27,054
01/03/20 02:21:01,C,27,054
01/03/20 02:31:01,C,26,555
01/03/20 02:41:01,C,26,555
01/03/20 02:51:01,C,26,555
01/03/20 03:01:01,C,27,054
01/03/20 03:11:01,C,26,555
01/03/20 03:21:01,C,26,555
01/03/20 03:31:01,C,27,054
01/03/20 03:41:01,C,27,054
01/03/20 03:51:01,C,27,054
01/03/20 04:01:01,C,26,555
01/03/20 04:11:01,C,26,555
01/03/20 04:21:01,C,24,555
01/03/20 04:31:01,C,22,554
01/03/20 04:41:01,C,21,053
01/03/20 04:51:01,C,21,053
01/03/20 05:01:01,C,21,554
01/03/20 05:11:01,C,21,554
01/03/20 05:21:01,C,21,554
01/03/20 05:31:01,C,21,554
01/03/20 05:41:01,C,21,554
01/03/20 05:51:01,C,21,554
01/03/20 06:01:01,C,21,554
01/03/20 06:11:01,C,21,554
